,mass A,,,,
t,x,y,θ,frame,
4.090,327.6,-192.1,-30.4,245
4.106,338.6,-172.8,-27.0,246
4.123,348.5,-151.1,-23.4,247
4.140,357.9,-127.9,-19.7,248
4.156,365.7,-102.8,-15.7,249
4.173,371.7,-76.17,-11.6,250
4.190,376.4,-48.35,-7.3,251
4.206,378.2,-19.46,-2.9,252
4.223,378.4,8.773,1.3,253
4.240,376.5,37.57,5.7,254
4.256,372.3,65.75,10.0,255
4.273,366.5,93.44,14.3,256
4.290,358.6,118.7,18.3,257
4.307,349.2,143.1,22.3,258
4.323,339.3,165.4,26.0,259
4.340,327.3,185.9,29.6,260
4.357,315.6,204.7,33.0,261
4.373,304.1,221.3,36.0,262
4.390,293.0,235.2,38.8,263
4.407,281.5,248.3,41.4,264
4.423,272.5,258.0,43.4,265
4.440,264.3,265.1,45.1,266
4.457,258.3,271.6,46.4,267
4.473,253.4,275.0,47.3,268
4.490,251.0,277.3,47.8,269
4.507,250.1,278.0,48.0,270
4.524,251.7,277.0,47.7,271
4.540,254.4,274.2,47.1,272
4.557,259.7,269.5,46.1,273
4.574,265.9,263.1,44.7,274
4.590,273.8,255.4,43.0,275
4.607,283.0,245.5,40.9,276
4.624,293.3,233.8,38.6,277
4.640,304.0,219.6,35.8,278
4.657,315.3,204.3,32.9,279
4.674,326.1,186.2,29.7,280
4.690,337.5,166.4,26.2,281
4.707,347.7,144.5,22.6,282
4.724,357.1,120.7,18.7,283
4.741,365.0,95.11,14.6,284
4.757,371.3,68.89,10.5,285
4.774,375.1,41.00,6.2,286
4.791,377.7,13.18,2.0,287
4.807,378.1,-15.40,-2.3,288
4.824,376.4,-43.47,-6.6,289
4.841,372.4,-70.60,-10.7,290
4.857,367.0,-97.12,-14.8,291
4.874,360.3,-121.9,-18.7,292
4.891,351.5,-145.2,-22.4,293
4.907,341.4,-167.6,-26.1,294
4.924,331.7,-187.6,-29.5,295
4.941,321.0,-204.5,-32.5,296
4.958,311.0,-220.7,-35.4,297
4.974,301.1,-234.4,-37.9,298
4.991,292.1,-245.6,-40.1,299
5.008,283.8,-255.2,-42.0,300
5.024,277.6,-262.4,-43.4,301
5.041,272.1,-267.6,-44.5,302
5.058,268.7,-270.2,-45.2,303
5.074,266.8,-272.3,-45.6,304
5.091,266.7,-272.1,-45.6,305
5.108,268.5,-270.3,-45.2,306
5.124,272.1,-266.5,-44.4,307
5.141,277.1,-260.8,-43.3,308
5.158,284.2,-253.6,-41.7,309
5.174,291.8,-244.7,-40.0,310
5.191,300.8,-233.0,-37.8,311
5.208,310.4,-219.8,-35.3,312
5.225,320.7,-204.2,-32.5,313
5.241,330.9,-187.0,-29.5,314
5.258,341.3,-167.4,-26.1,315
5.275,350.5,-145.7,-22.6,316
5.291,359.8,-122.9,-18.9,317
5.308,366.8,-97.77,-14.9,318
5.325,373.2,-71.66,-10.9,319
5.341,376.5,-43.99,-6.7,320
5.358,378.4,-16.39,-2.5,321
5.375,378.6,12.00,1.8,322
5.391,376.3,39.85,6.0,323
5.408,372.9,67.27,10.2,324
5.425,366.0,93.54,14.3,325
5.442,358.0,118.9,18.4,326
5.458,349.3,142.3,22.2,327
5.475,339.4,164.4,25.8,328
5.492,329.1,184.7,29.3,329
5.508,316.9,203.1,32.7,330
5.525,306.4,218.4,35.5,331
5.542,296.1,232.0,38.1,332
5.558,286.0,244.1,40.5,333
5.575,277.2,253.6,42.5,334
5.592,269.5,260.6,44.0,335
5.608,263.9,266.6,45.3,336
5.625,259.5,270.4,46.2,337
5.642,257.2,272.3,46.6,338
5.659,256.8,272.7,46.7,339
5.675,258.2,271.3,46.4,340
5.692,261.4,268.2,45.7,341
5.709,266.2,263.1,44.7,342
5.725,273.0,256.9,43.3,343
5.742,280.6,248.7,41.6,344
5.759,289.4,238.7,39.5,345
5.775,298.9,226.8,37.2,346
5.792,309.1,213.1,34.6,347
5.809,319.7,197.2,31.7,348
5.825,330.8,179.1,28.4,349
5.842,341.1,159.7,25.1,350
5.859,350.6,137.7,21.4,351
5.876,359.3,114.1,17.6,352
5.892,366.7,89.48,13.7,353
5.909,372.6,63.37,9.7,354
5.926,376.6,36.37,5.5,355
5.942,378.5,8.959,1.4,356
5.959,378.6,-18.71,-2.8,357
5.976,376.4,-46.02,-7.0,358
